feature	r
Neurosynth_TFIDF__span	0.0760422349860519
Neurosynth_TFIDF__yielded	0.0756252820677843
Neurosynth_TFIDF__engaged	0.0756171271692873
Neurosynth_TFIDF__controversial	0.0754157206184781
Neurosynth_TFIDF__monkey	0.0752486868123809
Neurosynth_TFIDF__discuss	0.0752437122536886
Neurosynth_TFIDF__possibly	0.0752298246850007
Neurosynth_TFIDF__bold response	0.0752276463730824
Neurosynth_TFIDF__temporally	0.0751583984257179
Neurosynth_TFIDF__working memory	0.0747842649060392
Neurosynth_TFIDF__adjacent	0.0746243291062676
Neurosynth_TFIDF__direct evidence	0.0745729810652145
Neurosynth_TFIDF__symptom	0.0745585963570542
Neurosynth_TFIDF__42	0.0745016371173232
Neurosynth_TFIDF__levels	0.0744330854897561
Neurosynth_TFIDF__audiovisual	0.074433062430745
Neurosynth_TFIDF__exhibited	0.0744181926666559
Neurosynth_TFIDF__time course	0.0743851436345631
Neurosynth_TFIDF__affective	0.0741498232106605
Neurosynth_TFIDF__ba	0.0739571909052242
Neurosynth_TFIDF__color	0.0738470358754974
Neurosynth_TFIDF__button	0.0736791510962185
Neurosynth_TFIDF__parietal	0.0736756767953652
Neurosynth_TFIDF__activations	0.0736729834074817
Neurosynth_TFIDF__midbrain	0.0736526546872113
Neurosynth_TFIDF__cognitive control	0.0736324807989328
Neurosynth_TFIDF__motor network	0.0735272761007488
Neurosynth_TFIDF__therapeutic	0.0733119569048531
Neurosynth_TFIDF__characterizing	0.0733004346881042
Neurosynth_TFIDF__evident	0.073199084010657
Neurosynth_TFIDF__relevant information	0.0728390527828083
Neurosynth_TFIDF__spatiotemporal	0.0726219553938948
Neurosynth_TFIDF__40	0.0721781064668204
Neurosynth_TFIDF__persons	0.0720453148658794
Neurosynth_TFIDF__serve	0.0720275418040922
Neurosynth_TFIDF__experience	0.0720124468876677
Neurosynth_TFIDF__index finger	0.0719843297939825
Neurosynth_TFIDF__retention	0.0717468363761793
Neurosynth_TFIDF__adaptation	0.0717055847437625
Neurosynth_TFIDF__supports	0.0716173582701371
Neurosynth_TFIDF__limbic	0.0714234725522922
Neurosynth_TFIDF__12 healthy	0.0712223114718112
Neurosynth_TFIDF__covariance	0.0712150979209825
Neurosynth_TFIDF__advanced	0.0710437590833889
Neurosynth_TFIDF__positive correlation	0.0710330100112485
Neurosynth_TFIDF__dual	0.070849792786673
Neurosynth_TFIDF__individuals	0.07062331821106
Neurosynth_TFIDF__31	0.0705948230671651
Neurosynth_TFIDF__consisting	0.070566655664445
Neurosynth_TFIDF__skin	0.0705462218861714
Neurosynth_TFIDF__frequency	0.0702921528197497
Neurosynth_TFIDF__hand	0.0702444652651513
Neurosynth_TFIDF__eye movements	0.0697684281014999
Neurosynth_TFIDF__variant	0.0697013493258082
Neurosynth_TFIDF__pitch	0.0696840836072993
Neurosynth_TFIDF__gyrus superior	0.0690948167013273
Neurosynth_TFIDF__sma	0.0687381465354402
Neurosynth_TFIDF__integrity	0.0686915323162376
Neurosynth_TFIDF__frontoparietal	0.0684705013395126
Neurosynth_TFIDF__correlation	0.0684547575324663
Neurosynth_TFIDF__timing	0.0684300794101115
Neurosynth_TFIDF__assess	0.068220397197158
Neurosynth_TFIDF__seven	0.0682090411920036
Neurosynth_TFIDF__anterior intraparietal	0.0679795302997409
Neurosynth_TFIDF__syntactic	0.0673793363173385
Neurosynth_TFIDF__shared	0.067267660295725
Neurosynth_TFIDF__central role	0.0671630294708043
Neurosynth_TFIDF__caudal	0.0671240386449207
Neurosynth_TFIDF__stimulated	0.0670876567471715
Neurosynth_TFIDF__inhibitory control	0.0668844885011312
Neurosynth_TFIDF__completely	0.0668844885011312
Neurosynth_TFIDF__competition	0.0668844885011312
Neurosynth_TFIDF__rated	0.0667353314854103
Neurosynth_TFIDF__modulating	0.0667167087940276
Neurosynth_TFIDF__psychotic	0.066666855390304
Neurosynth_TFIDF__sixteen	0.0664720882005112
Neurosynth_TFIDF__18	0.0663659297035895
Neurosynth_TFIDF__context	0.0663099124147111
Neurosynth_TFIDF__inferior superior	0.0662104088998483
Neurosynth_TFIDF__cerebral cortex	0.0661926926277209
Neurosynth_TFIDF__motor control	0.065720515544013
Neurosynth_TFIDF__emotional responses	0.065613504559889
Neurosynth_TFIDF__threatening	0.065613504559889
Neurosynth_TFIDF__lateral frontal	0.0655680415654413
Neurosynth_TFIDF__parietal temporal	0.0655327393900511
Neurosynth_TFIDF__oxygenation	0.0655089275580104
Neurosynth_TFIDF__blood oxygenation	0.0655089275580104
Neurosynth_TFIDF__changing	0.064985556089958
Neurosynth_TFIDF__hypothalamus	0.0648927007231616
Neurosynth_TFIDF__subtle	0.064842127020821
Neurosynth_TFIDF__imagery	0.0648173752912715
Neurosynth_TFIDF__contains	0.0643578368715051
Neurosynth_TFIDF__anticipation	0.0642946352126353
Neurosynth_TFIDF__saccades	0.0642272268164602
Neurosynth_TFIDF__single trial	0.0641607827846547
Neurosynth_TFIDF__phase	0.0641499417838195
Neurosynth_TFIDF__dorsal anterior	0.0638801510824023
Neurosynth_TFIDF__neuronal	0.0637419187462914
Neurosynth_TFIDF__sensory	0.0636307746954712
Neurosynth_TFIDF__preserved	0.0635715181727186
Neurosynth_TFIDF__behavioral	0.0634793357838945
Neurosynth_TFIDF__ability	0.0634417484683462
