feature	mean	std
Neurosynth_TFIDF__replicated	0.09654684073046906	0.12436726864499353
Neurosynth_TFIDF__lateral frontal	0.09654382045751762	0.05811497099514287
Neurosynth_TFIDF__rewarding	0.09650589795605474	0.00849559809365949
Neurosynth_TFIDF__length	0.09636445563150053	0.06443737355836084
Neurosynth_TFIDF__variables	0.0961766785088204	0.08830274461206979
Neurosynth_TFIDF__sustained	0.09616183919348266	0.06985912304811626
Neurosynth_TFIDF__issue	0.0959572285135239	0.07250513847605466
Neurosynth_TFIDF__incentive	0.09589556860729279	0.009105927442421446
Neurosynth_TFIDF__inhibitory	0.09588021668395987	0.09336552348119012
Neurosynth_TFIDF__temporoparietal	0.09587006870468115	0.036508937838970835
Neurosynth_TFIDF__observation	0.0957889593906886	0.08198939049770586
Neurosynth_TFIDF__dimensions	0.09566223644836634	0.06672743935414359
Neurosynth_TFIDF__sound	0.09557715214311142	0.0724667594436885
Neurosynth_TFIDF__executive functions	0.09555866028633159	0.022216439740664687
Neurosynth_TFIDF__white matter	0.09525212334604051	0.044364927480007386
Neurosynth_TFIDF__manipulated	0.09524506264642223	0.08736626940789763
Neurosynth_TFIDF__constructed	0.09491783081937649	0.0
Neurosynth_TFIDF__32	0.09476534738842848	0.06688841624594638
Neurosynth_TFIDF__heard	0.09467575800436408	0.09691897726635737
Neurosynth_TFIDF__negative correlation	0.09433784849499963	0.016974766502809734
Neurosynth_TFIDF__basal	0.09426677137418987	0.07165627104547086
Neurosynth_TFIDF__ventrolateral	0.09414055804140767	0.08177683462523705
Neurosynth_TFIDF__attributes	0.09411162880433789	0.07584758325703474
Neurosynth_TFIDF__response selection	0.09383524099522987	0.0916126772657259
Neurosynth_TFIDF__gyrus stg	0.09382376295097994	0.03922350844816253
Neurosynth_TFIDF__primates	0.09361888028579626	0.08706119301641888
Neurosynth_TFIDF__compare	0.09358735031230428	0.06391966492251094
Neurosynth_TFIDF__behaviorally	0.09342497219905377	0.11118532130487985
Neurosynth_TFIDF__courses	0.09339412002247063	0.057162891612507344
Neurosynth_TFIDF__time courses	0.09339412002247063	0.057162891612507344
Neurosynth_TFIDF__midbrain	0.09331947475568267	0.041213699286834764
Neurosynth_TFIDF__oxygen level	0.0932326030872207	0.11387199042828627
Neurosynth_TFIDF__blood oxygen	0.0932326030872207	0.11387199042828627
Neurosynth_TFIDF__foci	0.09315829559512175	0.05548910332219714
Neurosynth_TFIDF__acquired	0.09307774470987995	0.09241906249572783
Neurosynth_TFIDF__anterior posterior	0.09283581480407929	0.08457503020868232
Neurosynth_TFIDF__rapidly	0.09282787023492364	0.06451662095438414
Neurosynth_TFIDF__year old	0.09277997418202917	0.037150370284609026
Neurosynth_TFIDF__output	0.0926766748393736	0.054674697454164534
Neurosynth_TFIDF__gyrus precuneus	0.09260391053422239	0.018218737510308468
Neurosynth_TFIDF__images acquired	0.09255489828141604	0.07156138148317974
Neurosynth_TFIDF__streams	0.09249581219181872	0.1036907161415636
Neurosynth_TFIDF__decline	0.09245679798596253	0.0851729650364261
Neurosynth_TFIDF__personal	0.09230367631056582	0.0
Neurosynth_TFIDF__eye movements	0.09224756677232471	0.09355920951897795
Neurosynth_TFIDF__engaging	0.0921517470050955	0.055521819677718014
Neurosynth_TFIDF__tracts	0.09204853727041501	0.04762727538967549
Neurosynth_TFIDF__simultaneous eeg	0.0917539890382639	0.08703909196881446
Neurosynth_TFIDF__rapid	0.09165836616769409	0.06750661367325843
Neurosynth_TFIDF__integrity	0.0915795352738565	0.08209522504869068
Neurosynth_TFIDF__behavioral responses	0.09154047058837703	0.0
Neurosynth_TFIDF__interference	0.09145589972345881	0.0680156949934391
Neurosynth_TFIDF__hemodynamic responses	0.0909484908078063	0.09113096960520353
Neurosynth_TFIDF__complexity	0.09086402631774805	0.0761082666146421
Neurosynth_TFIDF__believed	0.09078116821966366	0.06785702615961287
Neurosynth_TFIDF__ppc	0.09076109537560728	0.0482499484975597
Neurosynth_TFIDF__widespread	0.09070178753420224	0.08792351110908969
Neurosynth_TFIDF__punishment	0.09069858993700125	0.003908948772129918
Neurosynth_TFIDF__cortex parietal	0.09067651970804583	0.04853570128827081
Neurosynth_TFIDF__controlling	0.09059385394201917	0.06944970193194
Neurosynth_TFIDF__body	0.09046190612849728	0.10528073591004275
Neurosynth_TFIDF__network involved	0.09039636934033486	0.052117984054014084
Neurosynth_TFIDF__avoid	0.09032801523427722	0.13033658709650656
Neurosynth_TFIDF__isolate	0.0902515222090599	0.049284605473427764
Neurosynth_TFIDF__paced	0.09014584768346089	0.057894079089772114
Neurosynth_TFIDF__mid	0.08994936925180164	0.08119657370209674
Neurosynth_TFIDF__power	0.08989347445839715	0.05270841231566429
Neurosynth_TFIDF__mediating	0.08980864741564987	0.0761487780391426
Neurosynth_TFIDF__especially	0.08980407790908342	0.07728121520492476
Neurosynth_TFIDF__systematically	0.08952408329881412	0.04718041216855769
Neurosynth_TFIDF__concomitant	0.08936118966913417	0.10364473568674555
Neurosynth_TFIDF__relevant information	0.089282560617017	0.08232828503764453
Neurosynth_TFIDF__anterior cingulate	0.08926128899866302	0.08381649432386826
Neurosynth_TFIDF__attend	0.08889369488109293	0.07142023890412115
Neurosynth_TFIDF__audiovisual	0.08885000312102677	0.07519031887172478
Neurosynth_TFIDF__chronic	0.0886410802532173	0.048747828559187995
Neurosynth_TFIDF__hyperactivity	0.08806836444069682	0.11262382326750553
Neurosynth_TFIDF__methods functional	0.08781686369711605	0.07646451196550595
Neurosynth_TFIDF__fast	0.08781130920354205	0.0732592975836495
Neurosynth_TFIDF__updating	0.08772867805109252	0.030102246655482365
Neurosynth_TFIDF__subjective	0.08772323234177419	0.015571227409650425
Neurosynth_TFIDF__75	0.08771062123465728	0.09148617935045712
Neurosynth_TFIDF__temporally	0.08762990301526245	0.048065585332886046
Neurosynth_TFIDF__extra	0.08761240048941123	0.057957103448545495
Neurosynth_TFIDF__pointing	0.08761177698022828	0.08651032926917444
Neurosynth_TFIDF__somatosensory cortex	0.0873439689961798	0.0872661510107023
Neurosynth_TFIDF__listened	0.08734285407501871	0.07650002252644147
Neurosynth_TFIDF__span	0.08732057334798149	0.034552539683538386
Neurosynth_TFIDF__markers	0.08729902859005258	0.06631843608372831
Neurosynth_TFIDF__therapeutic	0.08722637075102205	0.07801017674393423
Neurosynth_TFIDF__hemodynamic	0.08721113442836496	0.08120136400742199
Neurosynth_TFIDF__site	0.0870765320780309	0.07954248298975679
Neurosynth_TFIDF__debate	0.08698574048089974	0.01268647486555776
Neurosynth_TFIDF__agreement	0.08691829140422706	0.033578260211343636
Neurosynth_TFIDF__errors	0.08685596506476287	0.05701262491042307
Neurosynth_TFIDF__advanced	0.08685005871320671	0.0927411898851284
Neurosynth_TFIDF__silent	0.08674039796047368	0.05969041607547181
Neurosynth_TFIDF__users	0.08670834221726181	0.05233813329809911
Neurosynth_TFIDF__intensity	0.08666921798345473	0.07704027897648713
Neurosynth_TFIDF__consumption	0.08654723689755776	0.07522959216770139
Neurosynth_TFIDF__perfusion	0.08654723689755776	0.07522959216770139
Neurosynth_TFIDF__reversal	0.08638170701182328	0.04175134036239431
Neurosynth_TFIDF__occurrence	0.08637748127175371	0.08326250260576808
Neurosynth_TFIDF__distribution	0.08631534006629457	0.07264219712133517
Neurosynth_TFIDF__variations	0.08623172168094201	0.01599401836121664
